City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Bengkulu,ID,-3.8004,102.2655,75.76,89,99,2.64,moderate rain
218,Leningradskiy,RU,69.3833,178.4167,14.5,94,99,7.29,overcast clouds
219,Freeport,US,40.6576,-73.5832,68.02,60,91,3.0,overcast clouds
220,Hambantota,LK,6.1241,81.1185,79.21,79,96,13.82,overcast clouds
221,Pangai,TO,-19.8,-174.35,77.07,85,4,10.71,clear sky
222,Fuyang,CN,32.9,115.8167,61.65,66,14,14.0,few clouds
223,Westport,US,41.1415,-73.3579,67.86,57,0,5.01,clear sky
224,Bogale,MM,16.2833,95.4,75.51,83,51,3.49,broken clouds
225,Broken Hill,AU,-31.95,141.4333,58.03,56,3,12.08,clear sky
226,Lorengau,PG,-2.0226,147.2712,80.67,80,70,5.68,broken clouds
227,Klaksvik,FO,62.2266,-6.589,47.32,82,69,17.76,light rain
228,Malinovskiy,RU,61.1953,62.8397,39.31,93,100,6.82,overcast clouds
229,Norman Wells,CA,65.282,-126.8329,27.16,91,100,3.96,overcast clouds
230,Ulaangom,MN,49.9811,92.0667,31.26,58,67,1.88,broken clouds
231,Codajas,BR,-3.8367,-62.0569,91.49,48,100,3.27,overcast clouds
232,Chachapoyas,PE,-6.2317,-77.869,65.16,69,96,3.78,light rain
233,Bossangoa,CF,6.4926,17.4552,74.39,88,92,2.46,overcast clouds
234,Meulaboh,ID,4.1363,96.1285,75.0,82,100,3.18,moderate rain
235,Nanning,CN,22.8167,108.3167,71.58,54,99,8.43,overcast clouds
236,Camapua,BR,-19.5314,-54.0439,96.08,23,19,5.68,few clouds
237,Codrington,AU,-38.2667,141.9667,41.11,89,30,4.61,scattered clouds
238,Zhigansk,RU,66.7697,123.3711,26.08,92,100,8.3,overcast clouds
239,Cartagena,CO,10.3997,-75.5144,78.42,94,40,5.75,light rain
240,Golden,US,39.7555,-105.2211,49.93,68,100,4.61,overcast clouds
241,Juan Lacaze,UY,-34.4342,-57.4381,66.11,74,99,19.71,overcast clouds
242,Kaeo,NZ,-35.1,173.7833,48.33,95,40,3.65,scattered clouds
243,Bandundu,CD,-3.3167,17.3667,76.98,81,83,2.8,light rain
244,Jiangyou,CN,31.7667,104.7167,65.48,65,96,3.31,overcast clouds
245,Ariquemes,BR,-9.9133,-63.0408,82.98,69,97,2.8,overcast clouds
246,Port Shepstone,ZA,-30.7414,30.455,67.66,83,100,24.25,moderate rain
247,Caravelas,BR,-17.7125,-39.2481,80.51,58,60,8.32,broken clouds
248,Mae Sai,TH,20.4335,99.8762,69.87,76,58,1.7,broken clouds
249,Central Point,US,42.376,-122.9164,75.63,36,0,1.99,clear sky
250,Panzhihua,CN,26.5851,101.7128,61.32,77,100,1.21,overcast clouds
251,Umm Lajj,SA,25.0213,37.2685,83.25,63,9,7.45,clear sky
252,Kaniama,CD,-7.5667,24.1833,66.92,90,92,3.62,light rain
253,Bronnoysund,NO,65.4625,12.1997,46.4,71,75,7.0,broken clouds
254,Hamilton,US,39.1834,-84.5333,70.88,33,0,10.36,clear sky
255,Rundu,NA,-17.9333,19.7667,85.3,21,100,11.34,overcast clouds
256,Kurilsk,RU,45.2333,147.8833,52.88,93,100,12.95,moderate rain
257,Tuktoyaktuk,CA,69.4541,-133.0374,24.42,78,100,22.97,overcast clouds
258,La Ronge,CA,55.1001,-105.2842,33.28,46,95,5.77,overcast clouds
259,Clyde River,CA,70.4692,-68.5914,32.9,86,100,3.24,overcast clouds
260,Yulara,AU,-25.2406,130.9889,69.98,53,1,8.34,clear sky
261,Aswan,EG,24.0934,32.907,88.38,21,29,13.49,scattered clouds
262,Alofi,NU,-19.0595,-169.9187,76.95,83,15,16.71,few clouds
263,Lubben,DE,51.95,13.9,64.26,68,78,2.62,broken clouds
264,Pascagoula,US,30.3658,-88.5561,85.32,64,40,4.61,scattered clouds
265,Taoudenni,ML,22.6783,-3.9836,101.12,8,98,10.2,overcast clouds
266,Pemberton,CA,50.3164,-122.8027,55.09,46,3,0.85,clear sky
267,Juneau,US,58.3019,-134.4197,58.1,97,75,11.5,fog
268,Korla,CN,41.7597,86.1469,56.53,25,3,1.48,clear sky
269,Marsh Harbour,BS,26.5412,-77.0636,81.16,60,4,16.6,clear sky
270,Ancud,CL,-41.8697,-73.8203,64.22,74,91,4.88,overcast clouds
271,Charters Towers,AU,-20.1,146.2667,71.64,80,98,7.23,overcast clouds
272,Atambua,ID,-9.1061,124.8925,76.03,84,100,2.86,overcast clouds
273,Ashland,US,40.8167,-82.2665,63.14,45,9,13.76,clear sky
274,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,89.62,27,11,7.34,few clouds
275,Bonham,US,33.5773,-96.1783,67.37,88,100,12.66,overcast clouds
276,Tymovskoye,RU,50.8456,142.655,37.81,83,1,6.69,clear sky
277,Kruisfontein,ZA,-34.0033,24.7314,72.88,84,100,5.66,overcast clouds
278,Saskylakh,RU,71.9167,114.0833,17.87,90,94,18.54,overcast clouds
279,Sinnamary,GF,5.3833,-52.95,86.45,61,31,9.35,scattered clouds
280,Port Augusta,AU,-32.5,137.7667,57.36,60,1,6.49,clear sky
281,Hovd,MN,48.0056,91.6419,32.54,45,49,1.19,scattered clouds
282,Obo,CF,5.3998,26.4869,70.38,92,100,3.18,overcast clouds
283,Kidal,ML,18.4411,1.4078,95.5,8,3,8.81,clear sky
284,Hazorasp,UZ,41.3194,61.0742,62.44,32,99,12.88,overcast clouds
285,Teknaf,BD,20.8624,92.3058,77.97,86,75,2.48,moderate rain
286,Linfen,CN,36.0889,111.5189,59.54,25,8,2.28,clear sky
287,Humaita,BR,-7.5061,-63.0208,84.7,73,80,3.51,broken clouds
288,Gimli,CA,50.6336,-96.9907,33.69,58,97,22.39,overcast clouds
289,Ulladulla,AU,-35.35,150.4667,55.0,88,100,8.7,overcast clouds
290,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,85.08,75,93,0.87,overcast clouds
291,Chipata,ZM,-13.6333,32.65,78.89,24,14,12.41,few clouds
292,Saint Anthony,US,45.0205,-93.218,44.65,64,100,19.57,overcast clouds
293,Semey,KZ,50.4111,80.2275,56.88,33,100,4.59,overcast clouds
294,Sauda,NO,59.6506,6.3542,51.67,98,100,12.75,light rain
295,Broome,US,42.2506,-75.833,62.47,51,0,8.05,clear sky
296,Wloclawek,PL,52.6482,19.0678,61.52,86,100,7.63,overcast clouds
297,Filadelfia,US,39.9523,-75.1638,64.89,49,75,5.75,broken clouds
298,Sola,VU,-13.8833,167.55,80.35,76,54,13.27,broken clouds
299,Neiafu,TO,-18.65,-173.9833,75.88,94,20,0.0,few clouds
300,Ati,TD,13.2154,18.3353,94.98,20,4,2.62,clear sky
301,Olafsvik,IS,64.8945,-23.7142,36.81,69,74,23.62,broken clouds
302,Geraldton,AU,-28.7667,114.6,59.41,82,100,10.36,overcast clouds
303,Jalu,LY,29.0331,21.5482,75.42,41,1,8.25,clear sky
304,Batangafo,CF,7.3008,18.2833,75.52,84,99,2.37,overcast clouds
305,Law,GB,55.75,-3.8833,49.64,76,82,4.43,broken clouds
306,Rozhyshche,UA,50.9154,25.2691,54.36,74,100,11.18,overcast clouds
307,Bull Savanna,JM,17.8868,-77.5902,83.57,60,16,5.32,few clouds
308,Laguna,US,38.421,-121.4238,67.33,72,0,8.05,clear sky
309,Balkanabat,TM,39.5108,54.3671,71.42,49,54,3.38,broken clouds
310,Egvekinot,RU,66.3167,-179.1667,11.35,85,98,12.73,overcast clouds
311,Aasiaat,GL,68.7098,-52.8699,33.33,71,100,9.64,overcast clouds
312,Manokwari,ID,-0.8667,134.0833,79.39,75,92,5.17,overcast clouds
313,Gat,IL,31.61,34.7642,78.4,22,0,5.12,clear sky
314,Presidente Olegario,BR,-18.4178,-46.4181,87.1,22,47,7.07,scattered clouds
315,Alindao,CF,5.0267,21.2088,71.89,95,75,3.67,moderate rain
316,Natal,BR,-5.795,-35.2094,86.65,54,40,19.57,scattered clouds
317,Costa Rica,BR,-23.4167,-54.65,72.82,82,95,3.89,overcast clouds
318,Bud,US,39.447,-86.1758,69.48,42,63,10.89,broken clouds
319,Kuteynykove,UA,47.8123,38.2882,46.54,53,8,10.69,clear sky
320,Lamu,KE,-2.2717,40.902,77.22,84,82,9.95,broken clouds
321,Bakel,SN,14.905,-12.4568,98.67,29,46,8.88,scattered clouds
322,Tupancireta,BR,-29.0806,-53.8358,72.19,66,79,7.49,broken clouds
323,Tiznit,MA,29.5833,-9.5,84.9,27,78,15.79,broken clouds
324,Sumenep,ID,-7.0167,113.8667,81.55,80,95,4.74,overcast clouds
325,Ekibastuz,KZ,51.6667,75.3667,51.76,44,100,15.3,overcast clouds
326,Antofagasta,CL,-23.65,-70.4,61.88,59,0,7.07,clear sky
327,Revda,RU,56.801,59.9303,40.68,73,62,10.25,broken clouds
328,Makow Mazowiecki,PL,52.8649,21.1005,63.59,82,100,8.32,overcast clouds
329,Awbari,LY,26.5921,12.7805,77.76,37,29,8.14,scattered clouds
330,Aripuana,BR,-9.1667,-60.6333,92.01,47,90,1.86,overcast clouds
331,Bilhaur,IN,26.85,80.0833,75.43,49,2,4.29,clear sky
332,Sechura,PE,-5.5569,-80.8222,75.06,54,99,12.84,overcast clouds
333,Sitka,US,57.0531,-135.33,55.29,88,100,0.0,overcast clouds
334,Rawson,AR,-43.3002,-65.1023,53.15,68,100,15.55,overcast clouds
335,Mar Del Plata,AR,-38.0023,-57.5575,62.62,84,0,10.36,clear sky
336,Vostok,RU,46.4856,135.8833,34.38,88,92,3.96,overcast clouds
337,Cairns,AU,-16.9167,145.7667,73.35,87,44,5.75,scattered clouds
338,Coihaique,CL,-45.5752,-72.0662,66.81,45,20,8.05,few clouds
