City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
140,Barentu,ER,83.55,overcast clouds,15.1139,37.5928,
142,Iraquara,BR,78.84,broken clouds,-12.2486,-41.6194,Pousada E Restaurante MKE
143,Jibuti,DJ,78.28,clear sky,11.5,42.5,Orchid Main Camp Goubet
144,Bhanpuri,IN,74.61,clear sky,21.1,80.9167,OM FARMHOUSE
148,Catamarca,AR,83.07,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
149,Hobyo,SO,78.55,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
150,Luau,AO,80.11,broken clouds,-10.7073,22.2247,Kimbo Hotel
153,Boende,CD,70.27,heavy intensity rain,-0.2167,20.8667,
156,Saint-Philippe,RE,72.99,broken clouds,-21.3585,55.7679,Le four à pain
160,Juba,SS,74.48,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
164,Goalpara,IN,73.45,clear sky,26.1667,90.6167,Hotel Moon Moon
170,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
172,Seymour,US,70.09,overcast clouds,38.9592,-85.8903,Fairfield Inn & Suites by Marriott Seymour
175,Araruna,BR,83.79,overcast clouds,-6.5583,-35.7417,Pousada AFINK
177,Dingle,PH,77.4,light rain,10.9995,122.6711,SEGAYA PROPERTY
181,Porto Novo,BJ,80.29,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
187,Tanah Merah,MY,75.7,overcast clouds,5.8,102.15,Humaira Hotel
189,Port Blair,IN,79.92,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
192,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
193,Sao Joao Da Barra,BR,80.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
195,Mao,ES,73.96,few clouds,39.8885,4.2658,ARTIEM Capri
196,Naze,JP,76.08,overcast clouds,28.3667,129.4833,Shishime Hotel
197,Save,BJ,83.01,broken clouds,8.0425,2.486,Le Cercle du Rail
200,Nabire,ID,77.05,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
205,Cape Town,ZA,73.89,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
210,Nova Vicosa,BR,79.29,scattered clouds,-17.8919,-39.3719,Pousada Porto do Sol
213,Souillac,MU,71.44,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
216,Namibe,AO,70.92,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
217,Bengkulu,ID,75.76,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
220,Hambantota,LK,79.21,overcast clouds,6.1241,81.1185,Bungalow 63
